province_name,date_report,Temperature,Relative Humidity
Ontario,03/26/2020,44.3,77.65
Ontario,03/27/2020,40.6,70.97
Ontario,03/28/2020,41,79.23
Ontario,03/29/2020,47.3,80.98
Ontario,03/30/2020,45.4,73.97
Ontario,03/31/2020,41.9,86.54
Ontario,04-01-2020,42.9,44.28
Ontario,04-02-2020,47.5,37.09
Ontario,04-03-2020,44.8,61.49
Ontario,04-04-2020,46.6,78.76
Ontario,04-05-2020,46.9,64.67
Ontario,04-06-2020,45.1,54.31
Ontario,04-07-2020,48.3,50.95
Ontario,04-08-2020,48.3,66.59
Ontario,04-09-2020,43.7,60.34
Ontario,04-10-2020,39.1,53.8
Ontario,04-11-2020,40.1,53.48
Ontario,04-12-2020,45.9,59.95
Ontario,04/13/2020,48.6,74.77
Ontario,04/14/2020,38.2,54.83
Ontario,04/15/2020,34.7,51.5
Ontario,04/16/2020,34.3,49.84
Ontario,04/17/2020,36.5,58.49
Ontario,04/18/2020,39.8,65.77
Ontario,04/19/2020,44.4,69.76
Ontario,04/20/2020,37.3,59.3
Ontario,04/21/2020,38.5,53.93
Ontario,04/22/2020,35.5,42.24
Ontario,04/23/2020,36.5,46.01
Ontario,04/24/2020,45.2,33.78
Ontario,04/25/2020,46.7,42.64
Ontario,04/26/2020,48.3,53.07
Ontario,04/27/2020,49.4,42.35
Ontario,04/28/2020,46.8,61.74
Ontario,04/29/2020,49.1,66.6
Ontario,04/30/2020,50.2,90.12
Ontario,05-01-2020,52.5,71.14
Ontario,05-02-2020,50.8,60.73
Ontario,05-03-2020,58.5,53.02
Ontario,05-04-2020,47.5,49.39
Ontario,05-05-2020,40.9,48.3
Ontario,05-06-2020,46.4,41.22
Ontario,05-07-2020,46.9,42.82
Ontario,05-08-2020,37.1,43.25
Ontario,05-09-2020,36.1,54.93
Ontario,05-10-2020,41.4,62.2
Ontario,05-11-2020,40.5,68.87
Ontario,05-12-2020,40.4,47.5
Ontario,05/13/2020,43.1,47.3
Ontario,05/14/2020,45.6,62.74
Ontario,05/15/2020,52.9,86.12
Ontario,05/16/2020,53.6,74.07
Ontario,05/17/2020,54.2,63.82
Ontario,05/18/2020,53.4,81.74
British Columbia,01/28/2020,45.2,93.27
British Columbia,01/29/2020,46.1,89.25
British Columbia,01/30/2020,43.6,89.72
British Columbia,01/31/2020,49.5,90.93
British Columbia,02-01-2020,45,76.29
British Columbia,02-02-2020,38.7,80.88
British Columbia,02-03-2020,36.4,77.09
British Columbia,02-04-2020,37.2,87.29
British Columbia,02-05-2020,39.1,95.38
British Columbia,02-06-2020,41.5,95.27
British Columbia,02-07-2020,43,92.11
British Columbia,02-08-2020,44.6,75.95
British Columbia,02-09-2020,39,81.42
British Columbia,02-10-2020,41.7,80.2
British Columbia,02-11-2020,45.4,82.66
British Columbia,02-12-2020,43.5,85
British Columbia,02/13/2020,43.1,86.17
British Columbia,02/14/2020,43.3,79.85
British Columbia,02/15/2020,43.8,85.04
British Columbia,02/16/2020,42.4,77.42
British Columbia,02/17/2020,39.3,76
British Columbia,02/18/2020,38.7,77.74
British Columbia,02/19/2020,40.4,70.51
British Columbia,02/20/2020,41.8,67.89
British Columbia,02/21/2020,42,77.72
British Columbia,02/22/2020,44.5,78.35
British Columbia,02/23/2020,43.4,84.45
British Columbia,02/24/2020,42.3,69.66
British Columbia,02/25/2020,41.3,76.18
